CustomerID,Recency,Frequency,Monetary
12347.0,2,7,4310.0
12362.0,3,10,5226.23
12381.0,5,5,1845.31
12388.0,16,6,2780.66
12417.0,3,9,3649.1
12423.0,1,8,1859.31
12433.0,1,7,13375.87
12437.0,2,18,4951.41
12451.0,11,5,9035.52
12464.0,10,8,1212.05
12471.0,2,30,19824.05
12474.0,17,18,7375.79
12476.0,16,11,6816.42
12483.0,17,8,2484.98
12490.0,5,10,5417.93
12494.0,16,7,1246.1000000000001
12518.0,1,5,2056.89
12524.0,9,8,4485.72
12528.0,9,6,1933.48
12553.0,8,10,3692.28
12557.0,16,5,11990.960000000001
12562.0,8,7,3781.7400000000002
12569.0,2,32,4124.69
12583.0,3,15,7281.38
12584.0,4,9,2338.15
12598.0,10,8,3023.08
12619.0,16,9,3641.24
12621.0,2,20,13689.67
12627.0,11,7,4478.53
12654.0,11,5,601.98
12656.0,17,5,4051.17
12662.0,1,11,3849.78
12664.0,8,9,4881.88
12670.0,10,5,2996.05
12681.0,15,22,13787.54
12682.0,4,31,12288.22
12683.0,4,15,8476.57
12684.0,8,7,2283.63
12704.0,7,8,2340.84
12705.0,15,9,6868.29
12709.0,15,15,9736.52
12714.0,9,5,4708.86
12720.0,3,25,5781.73
12723.0,4,5,725.07
12727.0,11,7,3980.7
12747.0,2,11,4196.01
12748.0,1,209,33719.73
12749.0,4,5,4090.88
12757.0,16,13,7857.1
12766.0,4,7,6989.63
12775.0,17,5,1386.04
12782.0,5,5,2330.92
12783.0,2,6,2225.91
12826.0,3,7,1474.72
12828.0,3,6,1018.71
12839.0,3,14,5591.42
12841.0,5,25,4022.35
12856.0,8,6,2179.93
12877.0,4,12,1535.77
12901.0,9,28,17654.54
12906.0,12,5,2919.81
12912.0,3,5,1662.3
12913.0,5,5,2483.63
12919.0,8,6,1335.19
12921.0,9,37,16587.09
12935.0,2,7,2160.7
12948.0,16,7,2064.95
12951.0,9,6,1064.07
12955.0,1,11,4757.16
12957.0,10,8,4017.54
12963.0,8,8,1856.63
12971.0,4,86,11189.91
12989.0,3,15,6924.110000000001
13001.0,4,13,9818.82
13004.0,12,18,5655.91
13012.0,9,8,1661.8400000000001
13013.0,1,13,4810.9400000000005
13014.0,11,10,3466.2799999999997
13018.0,16,28,7277.7
13021.0,4,9,2616.38
13026.0,1,5,975.36
13050.0,15,17,5836.86
13069.0,1,24,4436.12
13078.0,3,26,12627.94
13079.0,4,5,220.10000000000002
13081.0,12,11,28337.38
13089.0,3,97,58825.83
13090.0,9,14,8910.82
13098.0,1,28,28882.44
13102.0,1,24,6424.09
13104.0,3,6,1098.48
13113.0,1,24,12245.960000000001
13126.0,5,8,2099.64
13137.0,11,8,3650.41
13139.0,16,7,5064.94
13183.0,8,9,3957.78
13184.0,15,10,1701.29
13198.0,10,6,3401.2400000000002
13199.0,4,38,9817.12
13225.0,3,7,6463.84
13230.0,4,14,2806.97
13232.0,13,7,1357.6
